縣市,案名,狀態,動工日期,(預計)完工日期,戶數,樓數,地址,Latitude,Longitude
桃園市,[桃園]東門段208-1地號都市更新事業(東門停車場),完工,109/7/14,112/12/7,,,330桃園市桃園區成功路二段22號,24.9933607,121.3147762
桃園市,[桃園] 中路一號社會住宅,完工,107/10/31,110/5/17,169,1,桃園市桃園區崇法街8號,25.0078237,121.2880081
桃園市,[桃園] 中路二號社會住宅,完工,"106/1/25	",108/6/21,212,1,330桃園市桃園區力行路296 298號,24.9994735,121.2974543
桃園市,[桃園] 中路三號社會住宅,完工,107/11/19,111/6/27,417,1,桃園市桃園區崇法街81-83-85號,25.0074272,121.2857596
桃園市,[桃園] 中路四號社會社宅,完工,108/2/27,"111/9/16	",350,1,桃園市桃園區崇法街56-68號,25.0078,121.2873841
桃園市,[桃園] 中壢一號社會住宅,完工,108/8/7,111/8/12,957,1,桃園市中壢區中山東路四段30號,24.9353267,121.2549858
桃園市,"[桃園] 	中壢老小段100地號都市更新事業(中興巷警察宿舍)",完工,109/4/1,113/3/27,93,1,320桃園市中壢區延平路627號,24.953601,121.2221223
桃園市,[桃園] 龍岡好室,完工,"111/6/2	",113/4/8,150,1,320桃園市中壢區龍岡路三段668巷2號對面,24.9274988,121.2423565
桃園市,[桃園] 楊梅一號社會住宅,完工,"109/7/18	",112/9/3,216,1,桃園市楊梅區金龍二路1號,24.9144005,121.1853981
桃園市,[桃園] 蘆竹二號社會住宅,完工,107/4/10,111/1/25,416,1,桃園市蘆竹區大新路36號,25.0249973,121.2561592
桃園市,[桃園] 蘆竹一號社會住宅,完工,109/1/22,111/10/3,114,1,桃園市蘆竹區大新三街173號,25.0188844,121.2682473
桃園市,[桃園] 八德一號社會住宅,完工,"106/10/31	",109/7/21,418,1,桃園市八德區建德路103號,24.926614,121.2804449
桃園市,[桃園] 八德二號社會住宅,完工,106/5/24,109/12/30,354,1,桃園市八德區豐田二路15號 ,24.9274142,121.2890785
桃園市,[桃園] 八德三號社會住宅,完工,107/9/7,112/2/21,524,1,桃園市八德區豐德路460號,24.9252252,121.2836598
桃園市,[桃園] 平鎮一號社會住宅,完工,109/7/18,112/3/25,64,1,桃園市平鎮區漢口街82巷6號,24.9101517,121.207746
桃園市,[桃園] 日光安居,待開工,114/9/1,117/12/22,297,1,330桃園市桃園區民生路724號,25.0072303,121.3085317
桃園市,[桃園] 福安安居A,待開工,114/10/31,118/12/31,448,1,330桃園市桃園區建國路101號1樓對面,24.9852981,121.3120414
桃園市,[桃園] 富台新村,待開工,114/8/31,117/10/31,220,1,中壢區中山東路3段331巷,24.9418013,121.252282
桃園市,[桃園] 富台安居,待開工,114/6/30,117/12/29,310,1, 320桃園市中壢區中山東路三段477號,24.9379329,121.253758
